Code;Name
07.11.04;Сноубординг
07.11.05;Коньки
07.11.06;Хоккей
07.12.00;Бокс и единоборства
07.12.01;Перчатки боксерские
07.12.02;Тренировочные снаряды
07.12.03;Аксессуары и принадлежности
07.12.04;Защита
08.00.00;Компьютеры
08.01.00;Оргтехника
08.01.01;Сканеры
08.01.02;Оборудование для видеоконференций
08.01.03;3D принтеры
08.01.04;Принтеры и МФУ
08.01.05;Режущие плоттеры
08.01.06;Принтеры матричные
08.02.00;Накопители
08.02.01;USB Flash drive
08.02.02;Карты памяти
08.02.03;Устройства для чтения карт памяти
08.03.00;Периферийные устройства
08.03.01;Веб-камеры
08.03.02;Рули, джойстики, геймпады
08.03.03;Графические планшеты и дигитайзеры
08.03.04;Компьютерная акустика
08.03.05;Микрофоны
08.03.06;TV-тюнеры
08.03.07;Клавиатуры, мыши, комплекты
08.03.08;Компьютерные гарнитуры
08.03.09;Мониторы
08.04.00;Комплектующие
08.04.01;Кулеры и системы охлаждения
08.04.02;Накопители FDD, MOD, ZIP, Jazz, стримеры
08.04.03;Блоки питания
08.04.04;Модули памяти
08.04.05;Процессоры (CPU)
08.04.06;Материнские платы
08.04.07;Платформы
08.04.08;Термопаста
08.04.09;Корпуса и док-станции для жестких дисков
08.04.10;Рэковые корпуса
08.04.11;Жесткие диски и сетевые накопители
08.04.12;Оптические приводы
08.04.13;Контроллеры
08.04.14;Разное
08.04.15;Звуковые карты
08.04.16;Корпуса
08.04.17;Видеокарты
08.04.18;Платы ввода-вывода
08.05.00;Игры и программное обеспечение
08.05.01;Программы для Apple
08.05.02;Управление файлами и дисками
08.05.03;Безопасность и защита информации
08.05.04;Программы для мобильных устройств
08.05.05;Обучение и видеокурсы
08.05.06;Программы для перевода
08.05.07;Утилиты
08.05.08;СУБД
08.05.09;САПР
08.05.10;Офисные программы
08.05.11;Программное обеспечение
08.05.12;Аудио- и видеоредакторы 
08.05.13;Программирование
08.05.14;Другое ПО
08.05.15;Бухгалтерия и делопроизводство
08.05.16;Словари и энциклопедии
08.05.17;Операционные системы
08.05.18;Верстка и дизайн
08.05.19;Игры для ПК
08.05.20;Интернет и локальные сети
08.06.00;Компьютеры
08.06.01;Планшеты
08.06.02;Настольные компьютеры
08.06.03;Серверы
08.06.04;Ноутбуки
08.06.05;Промышленные компьютеры
08.07.00;Источники бесперебойного питания
08.08.00;Сетевое оборудование
08.08.01;VoIP-шлюзы
08.08.02;Системы доступа и коммуникационные сервера
08.08.03;СКС
08.08.04;Трансиверы
08.08.05;Монтажное оборудование
08.08.06;VoIP-оборудование
08.08.07;Оборудование Wi-Fi и Bluetooth
08.08.08;Сетевые карты
08.08.09;Беспроводное оборудование
08.08.10;Мультиплексоры
08.08.11;Маршрутизаторы и коммутаторы
08.08.12;Репитеры
08.08.13;Принт-серверы
08.08.14;Промышленные модемы
08.08.15;Кабели и разъемы
08.08.16;Модемы
08.08.17;Сетевые камеры
08.08.18;Рэковые сетевые хранилища
08.08.19;Разное
08.08.20;Конвертеры интерфейсов и скоростей
08.09.00;Аксессуары и расходные материалы
08.09.01;Сумки и чехлы для  планшетов
08.09.02;Аксессуары для ноутбуков
08.09.03;Дискеты, диски, кассеты
08.09.04;USB-концентраторы
08.09.05;Блоки питания для ноутбуков
08.09.06;Картриджи, тонеры, фотобарабаны
08.09.07;Сумки и боксы для дисков
08.09.08;Разное
08.09.09;Фильтры и стабилизаторы
08.09.10;Сумки и чехлы для ноутбуков
08.09.11;Аккумуляторы для ноутбуков
08.09.12;Чистящие принадлежности
08.09.13;Аксессуары для принтеров и МФУ
08.09.14;Кронштейны, держатели и подставки
08.09.15;Инструменты
08.09.16;Кабели, разъемы, переходники
08.09.17;Коврики для мышей
09.00.00;Бытовая техника
09.01.00;Климатическая техника
09.01.01;Климатизаторы
09.01.02;Водонагреватели
09.01.03;Осушители воздуха
09.01.04;Вентиляторы
09.01.05;Ионизаторы
09.01.06;Комплектующие для кондиционеров
09.01.07;Обогреватели и тепловые завесы
09.01.08;Кондиционеры
09.01.09;Цифровые метеостанции
09.01.10;Электрокамины 
09.01.11;Очистители и увлажнители воздуха
09.01.12;Аксессуары для климатического оборудования
09.02.00;Техника для дома
09.02.01;Аксессуары для пылесосов
09.02.02;Аксессуары для стиральных машин
09.02.03;Электровеники
09.02.04;Пароочистители и отпариватели
09.02.05;Пылесосы
09.02.06;Системы Умный дом
09.02.07;Стиральные машины
09.02.08;Аксессуары для водяных фильтров
09.02.09;Фильтры и умягчители для воды
09.02.10;Утюги
09.02.11;Гладильные системы
09.02.12;Швейное оборудование
09.02.13;Сушильные автоматы
09.03.00;Техника для красоты
09.03.01;Электробигуди
09.03.02;Приборы для ухода за телом и лицом
09.03.03;Эпиляторы и женские электробритвы
09.03.04;Электрические зубные щетки
09.03.05;Машинки для стрижки
09.03.06;Напольные весы
09.03.07;Ирригаторы
09.03.08;Аксессуары для зубных щеток и ирригаторов
09.03.09;Аксессуары для электробритв и эпиляторов
09.03.10;Фены и приборы для укладки
09.03.11;Электробритвы мужские
09.04.00;Крупная техника для кухни
09.04.01;Встраиваемые рабочие поверхности
09.04.02;Кулеры для воды и питьевые фонтанчики
09.04.03;Комплекты встраиваемой техники
09.04.04;Плиты
09.04.05;Подогреватели посуды
09.04.06;Посудомоечные машины
09.04.07;Вытяжки
09.04.08;Встраиваемые духовые шкафы
09.04.09;Холодильники
09.05.00;Мелкая техника для кухни
09.05.01;Соковыжималки
09.05.02;Ломтерезки
09.05.03;Блендеры
09.05.04;Домашние мини-пивоварни
09.05.05;Электрические грили, барбекю, шашлычницы
09.05.06;Мини-печи, ростеры
09.05.07;Аэрогрили
09.05.08;Фритюрницы
09.05.09;Электрочайники и термопоты
09.05.10;Кофеварки и кофемашины
09.05.11;Мясорубки
09.05.12;Тостеры
09.05.13;Блинницы
09.05.14;Миксеры
09.05.15;Яйцеварки
09.05.16;Измельчители пищевых отходов
09.05.17;Йогуртницы и мороженицы
09.05.18;Пароварки
09.05.19;Прочая техника
09.05.20;Хлебопечки
09.05.21;Кухонные комбайны и измельчители
09.05.22;Фильтры для техники
09.05.23;Мультиварки
09.05.24;Сэндвичницы
09.05.25;Микроволновые печи
09.05.26;Сушилки для овощей, фруктов, грибов
09.05.27;Кухонные весы
09.05.28;Кофемолки
10.00.00;Электроника
10.02.00;GPS-навигация
10.02.01;Карты и программы GPS-навигации
10.02.02;GPS-навигаторы
10.02.03;GPS-трекеры
10.02.04;Аксессуары
10.03.00;Портативная техника
10.03.01;Цифровые плееры
10.03.02;Портативная акустика
10.03.03;Радиоприемники
10.03.04;Электронные книги
10.03.05;Магнитолы
